Comment,Designator,Footprint,LCSC,Quantity
.1u,"C8,C9",0603_capacitor,C14663,2
100,"R13,R14,R15,R16,R18,R19",R_0402_1005Metric,C25076,6
100k,"R1,R17,R3,R4,R5",0603_resistor,C25803,5
100nF,"C12,C45,C48,C51,C54,C55,C59,C60,C61,C62,C63,C64,C66,C67,C69,C70,C72",C_0402_1005Metric,C1525,17
100pF,C71,C_0402_1005Metric,C1546,1
10k,"R12,R20,R21",R_0402_1005Metric,C25744,3
10k,"R11,R8,R9",0603_resistor,C25804,3
10nF,"C29,C30,C31,C32",C_0603_1608Metric,C3836718,4
150k,R2,0603_resistor,C22807,1
1k,R6,0603_resistor,C21190,1
1nF,C65,C_0402_1005Metric,C1523,1
1pF,"C4,C56,C57,C58",C_0603_1608Metric,C2181373,4
1u,"C1,C3",0603_capacitor,C15849,2
1uF,"C10,C11",C_0402_1005Metric,C52923,2
220n,"C6,C68,C7",0603_capacitor,C21120,3
2pF,"C52,C53",C_0603_1608Metric,C513620,2
4.7k,"R22,R23",R_0402_1005Metric,C25900,2
4pF,"C49,C50",C_0603_1608Metric,C309461,2
74HC595D,"SR1,SR2",SOIC-16_3.9x9.9mm_P1.27mm,C5947,2
8pF,"C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C46,C47",C_0603_1608Metric,C519117,30
AD5621AKSZ,U14,SOT-363_SC-70-6,C114054,1
ADG701BRJZ-REEL7,SH1,SOT-23-5_HandSoldering,C657566,1
OPA320SAIDBVR,U13,SOT-23-6_Handsoldering,C2057613,1
OPA381,U1,OPA381,C2870973,1
REF3333AIDBZR,U3,SOT-23-3,C130016,1
SFH 2704,LED1,SFH2704_LED,C2833005,1
TLV9002,"U2,U4",TLV9002,C2862620,2
TMUX1104DGSR,U7,VSSOP-10_3x3mm_P0.5mm,C2879206,1
TMUX1133PWR,"U10,U12,U15,U8,U9",TSSOP-16_4.4x5mm_P0.65mm,C1849385,5
DM-OLED096-636,U6,OLED096-636,,1
MOUDLE-SEEEDUINO-XIAO-ESP32C3,U5,XIAO_ESP32S3_MODULE,,1
MCP6561T-E/OT,U11,SOT-23-5_HandSoldering,,1
Conn_FFC_8pin,J1,Conn_FFC_8pin,,1
Conn_01x08_Pin,J2,PinHeader_1x08_P2.54mm_Vertical,,1
40k,R10,0603_resistor,,1
2.2p,C2,0603_capacitor,,1
380k,R7,0603_resistor,,1
3.9u,C5,0603_capacitor,,1
